Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
Feb-17,ODOR,Correlation,Correlation_1,1,Indole,745,incongruent,B,correct,3992
Feb-17,ODOR,Correlation,Correlation_1,2,PEA,482,incongruent,V,correct,4456
Feb-17,ODOR,Correlation,Correlation_1,3,PEA,482,incongruent,B,incorrect,4027
Feb-17,ODOR,Correlation,Correlation_1,4,Indole,745,incongruent,B,correct,4235
Feb-17,ODOR,Correlation,Correlation_1,5,Indole,745,incongruent,V,incorrect,2410
Feb-17,ODOR,Correlation,Correlation_1,6,PEA,482,incongruent,V,correct,2590
Feb-17,ODOR,Correlation,Correlation_1,7,PEA,482,incongruent,V,correct,6239
Feb-17,ODOR,Correlation,Correlation_1,8,Indole,745,incongruent,B,correct,2163
Feb-17,ODOR,Correlation,Correlation_1,9,PEA,482,incongruent,V,correct,2703
Feb-17,ODOR,Correlation,Correlation_1,10,Indole,745,incongruent,B,correct,2671
Feb-17,ODOR,Correlation,Correlation_1,11,Indole,745,incongruent,V,incorrect,2192
Feb-17,ODOR,Correlation,Correlation_1,12,PEA,482,incongruent,B,incorrect,13655
Feb-17,ODOR,Correlation,Correlation_2,1,Indole,482,congruent,B,correct,2147
Feb-17,ODOR,Correlation,Correlation_2,2,PEA,745,congruent,V,correct,1718
Feb-17,ODOR,Correlation,Correlation_2,3,Indole,482,congruent,V,incorrect,1988
Feb-17,ODOR,Correlation,Correlation_2,4,PEA,745,congruent,V,correct,1624
Feb-17,ODOR,Correlation,Correlation_2,5,PEA,745,congruent,B,incorrect,1771
Feb-17,ODOR,Correlation,Correlation_2,6,Indole,482,congruent,V,incorrect,1665
Feb-17,ODOR,Correlation,Correlation_2,7,PEA,745,congruent,B,incorrect,5209
Feb-17,ODOR,Correlation,Correlation_2,8,Indole,482,congruent,B,correct,3746
Feb-17,ODOR,Correlation,Correlation_2,9,PEA,745,congruent,B,incorrect,2850
Feb-17,ODOR,Correlation,Correlation_2,10,Indole,482,congruent,B,correct,1905
Feb-17,ODOR,Correlation,Correlation_2,11,Indole,482,congruent,V,incorrect,1738
Feb-17,ODOR,Correlation,Correlation_2,12,PEA,745,congruent,V,correct,1469
Feb-17,ODOR,Baseline,Baseline_1,1,PEA,482,incongruent,B,incorrect,1808
Feb-17,ODOR,Baseline,Baseline_1,2,Indole,482,congruent,B,correct,1726
Feb-17,ODOR,Baseline,Baseline_1,3,PEA,482,incongruent,B,incorrect,5961
Feb-17,ODOR,Baseline,Baseline_1,4,Indole,482,congruent,B,correct,2434
Feb-17,ODOR,Baseline,Baseline_1,5,Indole,482,congruent,B,correct,4680
Feb-17,ODOR,Baseline,Baseline_1,6,PEA,482,incongruent,V,correct,1712
Feb-17,ODOR,Baseline,Baseline_1,7,PEA,482,incongruent,V,correct,1401
Feb-17,ODOR,Baseline,Baseline_1,8,Indole,482,congruent,V,incorrect,1885
Feb-17,ODOR,Baseline,Baseline_1,9,Indole,482,congruent,B,correct,2294
Feb-17,ODOR,Baseline,Baseline_1,10,PEA,482,incongruent,B,incorrect,4495
Feb-17,ODOR,Baseline,Baseline_1,11,Indole,482,congruent,V,incorrect,1924
Feb-17,ODOR,Baseline,Baseline_1,12,PEA,482,incongruent,V,correct,1280
Feb-17,ODOR,Baseline,Baseline_2,1,Indole,745,incongruent,B,correct,2674
Feb-17,ODOR,Baseline,Baseline_2,2,PEA,745,congruent,V,correct,1645
Feb-17,ODOR,Baseline,Baseline_2,3,PEA,745,congruent,B,incorrect,1357
Feb-17,ODOR,Baseline,Baseline_2,4,Indole,745,incongruent,V,incorrect,1619
Feb-17,ODOR,Baseline,Baseline_2,5,Indole,745,incongruent,V,incorrect,1795
Feb-17,ODOR,Baseline,Baseline_2,6,PEA,745,congruent,V,correct,1276
Feb-17,ODOR,Baseline,Baseline_2,7,Indole,745,incongruent,B,correct,1946
Feb-17,ODOR,Baseline,Baseline_2,8,PEA,745,congruent,B,incorrect,4268
Feb-17,ODOR,Baseline,Baseline_2,9,Indole,745,incongruent,B,correct,1564
Feb-17,ODOR,Baseline,Baseline_2,10,PEA,745,congruent,V,correct,1610
Feb-17,ODOR,Baseline,Baseline_2,11,PEA,745,congruent,V,correct,2153
Feb-17,ODOR,Baseline,Baseline_2,12,Indole,745,incongruent,B,correct,4052
Feb-17,ODOR,Filtering,Filtering_1,1,PEA,482,incongruent,V,correct,1639
Feb-17,ODOR,Filtering,Filtering_1,2,Indole,745,incongruent,V,incorrect,2526
Feb-17,ODOR,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,1457
Feb-17,ODOR,Filtering,Filtering_1,4,Indole,482,congruent,V,incorrect,1649
Feb-17,ODOR,Filtering,Filtering_1,5,Indole,482,congruent,V,incorrect,1196
Feb-17,ODOR,Filtering,Filtering_1,6,PEA,482,incongruent,V,correct,3153
Feb-17,ODOR,Filtering,Filtering_1,7,PEA,745,congruent,V,correct,1482
Feb-17,ODOR,Filtering,Filtering_1,8,Indole,745,incongruent,B,correct,1823
Feb-17,ODOR,Filtering,Filtering_1,9,PEA,482,incongruent,V,correct,4178
Feb-17,ODOR,Filtering,Filtering_1,10,PEA,745,congruent,V,correct,1337
Feb-17,ODOR,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,2517
Feb-17,ODOR,Filtering,Filtering_1,12,Indole,745,incongruent,V,incorrect,2536
